data_4F9000,004F9000,0050CD84
z_Arms_Hook.data,00510908,0051097C
z_Arrow_Fire.data,0051099C,005109A0
z_Arrow_Ice.data,005109C0,005109C4,
z_Arrow_Light.data,005109E4,005109E8
z_Bg_Bdan_Objects.data,00510A08,00510a48
z_Bg_Bdan_Switch.data,00510A68,00510AB8
z_Bg_Bom_Guard.data,00510AD8,00510BD4
z_Bg_Bowl_Wall.data,00510C14,00510C4C
z_Bg_Breakwall.data,00510C6C,00510D2C
z_Bg_Ddan_Jd.data,00510D4C,00510D50
z_Bg_Ddan_Kd.data,00510D70,00510DC0
z_Bg_Dodoago.data,00510DE0,00510E70
z_Bg_Dy_Yoseizo.data,00510E90,00510EDC
z_Bg_Ganon_Otyuka.data,00510EFC,00510F48
z_Bg_Gjyo_Bridge.data,00510F88,00510F94
z_Bg_Gnd_Iceblock.data,00510FF4,00511004
z_Bg_Gnd_Soulmeiro.data,00511044,00511090
z_Bg_Haka.data,005110B0,005110BC
z_Bg_Haka_Gate.data,005110BC,005110C8
z_Bg_Haka_Huta.data,00511108,00511120
z_Bg_Haka_Megane.data,00511140,005111AC
z_Bg_Haka_Megane_BG.data,005111CC,005111DC
z_Bg_Haka_Sgami.data,005111FC,00511390
z_Bg_Haka_Ship.data,005113B0,005113B4
z_Bg_Haka_Trap.data,005113D4,005114A8
z_Bg_Haka_Tubo.data,005114C8,00511550
z_Bg_Haka_Zou.data,00511570,005115B0
z_Bg_Heavy_Block.data,005115F0,00511608
z_Bg_Hidan_Curtain.data,00511608,00511678
z_Bg_Hidan_Dalm.data,005116B8,005117C4
z_Bg_Hidan_Fslift.data,00511844,00511854
z_Bg_Hidan_Fwbig.data,00511874,005118B0
z_Bg_Hidan_Hamstep.data,005118B0,005119BC
z_Bg_Hidan_Hrock.data,005119FC,00511A98
z_Bg_Hidan_Kousi.data,00511A98,00511AC8
z_Bg_Hidan_Kowarerukabe.data,00511B08,00511BA4
z_Bg_Hidan_Rock.data,00511BC4,00511C0C
z_Bg_Hidan_Rsekizou.data,00511C2C,00511D68
z_Bg_Hidan_Sekizou.data,00511D88,00511ECC
z_Bg_Hidan_Sima.data,00511EEC,00511F60
z_Bg_Hidan_Syoku.data,00511F80,00511FE8
z_Bg_Ice_Shelter.data,00512028,0051213C
z_Bg_Ice_Shutter.data,0051215C,00512160
z_Bg_Ice_Turara.data,00512160,005121B4
z_Bg_Jya_1flift.data,005121F4,00512248
z_Bg_Jya_Amishutter.data,00512288,00512298
z_Bg_Jya_Bigmirror.data,00512298,005122F4
z_Bg_Jya_Block.data,00512334,00512344
z_Bg_Jya_Bombchuiwa.data,00512364,005123C4
z_Bg_Jya_Bombiwa.data,005123E4,00512434
z_Bg_Jya_Cobra.data,00512454,00512860
z_Bg_Jya_Goroiwa.data,00512880,005128D8
z_Bg_Jya_Haheniron.data_005128D8,005128D8,00512928
z_Bg_Jya_Haheniron.data_00512948,00512948,00512978
z_Bg_Jya_Ironobj.data,00512998,00512A60
z_Bg_Jya_Kanaami.data,00512A80,00512A90
z_Bg_Jya_Lift.data,00512A90,00512AA4
z_Bg_Jya_Megami.data,00512AE4,00512CAC
z_Bg_Jya_Zurerukabe.data,00512CCC,00512D38
z_Bg_Menkuri_Eye.data,00512D58,00512DA0
z_Bg_Menkuri_Kaiten.data,00512DC0,00512DC4
z_Bg_Menkuri_Nisekabe.data,00512DE4,00512DEC
z_Bg_Mizu_Bwall.data,00512E0C,00512FD8
z_Bg_Mizu_Movebg.data,00512FF8,005130B4
z_Actor_1DA.data,005130D4,005130DC
z_Bg_Mizu_Shutter.data,005130FC,00513134
z_Bg_Mizu_Uzu.data,00513154,00513160
z_Bg_Mizu_Water.data,00513160,005131A4
z_Bg_Mjin.data,005131E4,005131F4
z_Bg_Mori_Bigst.data,00513214,0051322C
z_Bg_Mori_Elevator.data,0051322C,00513240
z_Bg_Mori_Hashigo.data,00513280,005132F4
z_Bg_Mori_Hashira4.data,00513314,0051332C
z_Bg_Mori_Hineri.data,0051332C,00513330
z_Bg_Mori_Idomizu.data,00513350,00513354
z_Bg_Mori_Kaitenkabe.data,00513394,005133A4
z_Bg_Mori_Rakkatenjo.data,005133A4,005133C4
z_Bg_Po_Event.data,00513404,005134B0
z_Bg_Po_Syokudai.data,005134B0,0051351C
z_Bg_Relay_Objects.data,0051355C,00513564
z_Bg_Spot00_Break.data,00513584,00513594
z_Bg_Spot00_Hanebasi.data,005135B4,005135C8
z_Bg_Spot01_Fusya.data,005135E8,005135F8
z_Bg_Spot01_Idohashira.data,00513618,00513634
z_Bg_Spot01_Idosoko.data,00513678,0051367C
z_Bg_Spot01_Objects2.data,0051369C,005136AC
z_Bg_Spot02_Objects.data,005136CC,005136D4
z_Bg_Spot03_Taki.data,005136F4,00513720
z_Bg_Spot05_Soko.data,00513740,00513744
z_Bg_Spot06_Objects.data,00513764,005137AC
z_Bg_Spot07_Taki.data,005137CC,005137D0
z_Bg_Spot08_Bakudankabe.data,005137F0,005138C4
z_Bg_Spot08_Iceblock.data,005138E4,00513920
z_Bg_Spot09_Obj.data,00513940,00513978
z_Bg_Spot11_Bakudankabe.data,00513998,005139D8
z_Bg_Spot11_Oasis.data,005139F8,00513A58
z_Bg_Spot12_Gate.data,00513A78,00513A88
z_Bg_Spot12_Saku.data,00513AA8,00513AB8
z_Bg_Spot15_Rrbox.data,00513AB8,00513B20
z_Bg_Spot16_Bombstone.data,00513B60,00513E0C
z_Bg_Spot16_Doughnut.data,00513E4C,00513E64
z_Bg_Spot17_Bakudankabe.data,00513E84,00513E94
z_Bg_Spot17_Funen.data,00513EB4,00513EB8
z_Bg_Spot18_Basket.data,00513ED8,00513F68
z_Bg_Spot18_Futa.data,00513F88,00513F98
z_Bg_Spot18_Obj.data,00513FB8,00514004
z_Bg_Spot18_Shutter.data,00514024,00514028
z_Bg_Sst_Floor.data,00514048,0051404C
z_Bg_Toki_Hikari.data,0051406C,00514070
z_Bg_Toki_Swd.data,00514090,005140D4
z_Bg_Umajump.data,00514130,00514134
z_Bg_Vb_Sima.data,00514154,00514160
z_Bg_Ydan_Hasi.data,00514180,00514184
z_Bg_Ydan_Maruta.data,005141A4,00514230
z_Bg_Ydan_Sp.data,00514250,0051430C
z_Actor_1D7.data,0051432C,0051435C
z_Bg_Zg.data,0051437C,0051438C
z_bgcheck.data,0051438C,005144C0
z_Boss_Dodongo.data_005144C0,005144C0,00514594
z_Boss_Dodongo.data_005145B4,005145B4,00514944
z_Boss_Fd.data,00514964,00514D3C
z_Boss_Fd2.data,00514D5C,00514F44
z_Boss_Ganon.data,00514F64,0051518C
z_Boss_Ganon2.data_0051518C,0051518C,005152B8
z_Boss_Ganon2.data_005152D8,005152D8,00515638
z_Actor_1D8.data,00515658,005156A8
z_Boss_Ganondrof.data,005156C8,005157BC
z_Boss_Goma.data,005157DC,00515C1C
z_Boss_Mo.data,00515C3C,00516174
z_Boss_Sst.data_00516174,00516174,005163E0
z_Boss_Sst.data_00516400,00516400,00516820
z_Boss_Tw.data,00516840,00516AEC
z_Boss_Va.data,00516B0C,00516E9C
z_camera.data,00516E9C,0051AD44
z_collision.data,0051AD44,0051B2E0
z_demo.data,0051B2E0,0051B2F4
data_51B2F8,0051B2F8,0051B348
z_Demo_6K.data,0051B368,0051B42C
z_Demo_Du.data,0051B44C,0051B564
z_Demo_Ec.data,0051B564,0051B750
z_Demo_Effect.data,0051B770,0051B8FC
z_Demo_Ext.data,0051B93C,0051B950
z_Demo_Geff.data,0051B950,0051B998
z_Demo_Gj.data,0051B9B8,0051BB20
z_Demo_Go.data,0051BB60,0051BB84
z_Demo_Gt.data,0051BB84,0051BC20
z_Demo_Ik.data,0051BC60,0051BD08
z_Demo_Im.data,0051BD08,0051BDC8
z_Demo_Kankyo.data,0051BE08,0051C394
z_Demo_Kekkai.data,0051C3B4,0051C428
z_Demo_Sa.data,0051C448,0051C4A8
z_Demo_Tre_Lgt.data,0051C4C8,0051C4F8
z_Door_Ana.data,0051C538,0051C570
z_Door_Gerudo.data,0051C590,0051C594
z_Door_Killer.data,0051C5B4,0051C63C
